ProteinID,GeneName,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
KAD5,AK5,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,-0.1593543534844884,0.0450175109963404
R113A,RNF113A,0.1324532357065043,0.8946258095467281,0.0296174438879546,0.9242146009130596,0.1705814846309007,-0.2365332313741845
CFDP1,CFDP1,0.1632993161855452,0.8702827722810359,0.036514837167011,0.9169050636532342,0.2530319414559984,0.0329283967517422
E9PG82,SRI,0.1924500897298752,0.8473896596867143,0.0430331482911935,0.8963424487921221,-0.2890686726220404,-0.2192950123413192
A0A0X1KG68,TENT4A,0.1924500897298752,0.8473896596867143,0.0430331482911935,0.8963424487921221,-0.0074582338162357,-0.0904681226903403
RBM15,RBM15,0.2207553928441739,0.8252828980151752,0.0493624064799243,0.8799703189679879,0.7618255935579721,-0.5682974291521856
M21D2,MB21D2,0.2207553928441739,0.8252828980151752,0.0493624064799243,0.8799703189679879,-0.2342836868985774,-0.7267461785978961
RC3H1,RC3H1,0.2207553928441739,0.8252828980151752,0.0493624064799243,0.8799703189679879,0.0309900055198797,-0.0915662871782138
SEN54,TSEN54,0.2267786838055363,0.8205958397554409,0.0507092552837109,0.8799703189679879,-0.3883555244192507,-0.5014297509348402
MIER3,MIER3,0.2314550249431378,0.8169613217153913,0.0517549169506765,0.8799703189679879,0.1590250337829012,0.0613700137289312
DHE4,GLUD2,0.2449489742783178,0.8064959405073401,0.0547722557505166,0.8786973922942547,-0.4336480744778787,0.091807583294514
RM36,MRPL36,0.2886751345948128,0.7728299926844475,0.0645497224367902,0.8443883253404149,-0.5584983698655501,-0.5298433625270181
H0YD93,RUFY2,0.3023715784073817,0.7623688184698398,0.0676123403782813,0.8364005012551342,0.2967170722727812,-0.3188769482822214
PRPF3,PRPF3,0.3023715784073817,0.7623688184698398,0.0676123403782813,0.8364005012551342,0.2749458094721747,-0.0163899723094294
MIRO1,RHOT1,0.3090575499818435,0.7572777496236212,0.0691073690718941,0.8342624171164789,0.2344992987833911,-0.1426574524853796
ZA2G,AZGP1,0.3150630189063022,0.7527138062630524,0.0704502327470793,0.8342624171164789,-0.0297155244050957,-0.2002298807233311
OTU1,YOD1,0.3150630189063022,0.7527138062630524,0.0704502327470793,0.8342624171164789,0.7675704321851918,0.9840540066221518
A0A140T9Y5,HLA-B,0.3265986323710904,0.7439714780750569,0.0730296743340221,0.8299345690291076,0.0147033778667028,-0.1021086637260222
IFM3,IFITM3,0.3535533905932738,0.7236736098317631,0.0790569415042094,0.8106976515203929,0.2796325634773866,-0.036339722958959
UBP36,USP36,0.3779644730092272,0.7054569861112734,0.0845154254728516,0.7919612254230152,0.2581094284160501,-0.2258236942902433
UBP22,USP22,0.3779644730092272,0.7054569861112734,0.0845154254728516,0.7919612254230152,-1.1442833587630723,-0.3754585839835186
AFAP1,AFAP1,0.3779644730092272,0.7054569861112734,0.0845154254728516,0.7919612254230152,0.2115889887771533,-0.0594483029344582
ANXA3,ANXA3,0.3779644730092272,0.7054569861112734,0.0845154254728516,0.7919612254230152,-0.0032246701579666,-0.9562357781032172
GTPBA,GTPBP10,0.3779644730092272,0.7054569861112734,0.0845154254728516,0.7919612254230152,0.2602805815495136,0.0943281943907537
STA5A,STAT5A,0.3849001794597505,0.7003113729368902,0.086066296582387,0.7919612254230152,0.2532447579249464,-0.0578810469172831
CDK14,CDK14,0.3849001794597505,0.7003113729368902,0.086066296582387,0.7919612254230152,-0.152209398162265,-0.5483980414649111
CEP95,CEP95,0.3849001794597505,0.7003113729368902,0.086066296582387,0.7919612254230152,-0.0592140722288046,-1.0636194840246065
NU5M,MT-ND5,0.3973597071195131,0.6911022238448428,0.0888523316638638,0.7919612254230152,0.1019817272994673,0.0579525435326823
SSRD,SSR4,0.3973597071195131,0.6911022238448428,0.0888523316638638,0.7919612254230152,0.274981522660039,-0.1684202535081059
GLPK5,GK5,0.4285714285714285,0.6682351417952492,0.0958314847499909,0.7747442364482038,-0.0884709917471288,-0.9511990725311203
CHTOP,CHTOP,0.4535573676110727,0.6501474440948545,0.1014185105674219,0.7570795895051924,0.4209416019400968,0.3044499426739048
TSP1,THBS1,0.4535573676110727,0.6501474440948545,0.1014185105674219,0.7570795895051924,0.2204520479399866,-0.1929678868829119
TM131,TMEM131,0.4535573676110727,0.6501474440948545,0.1014185105674219,0.7570795895051924,0.0249738797075333,-0.2787192793082136
F5H757,CYB561,0.4629100498862757,0.6434288435636205,0.1035098339013531,0.7570795895051924,0.3826525323699763,-1.0385766450080882
A0A494C0B6,ACSL6,0.4811252243246881,0.6304275015358904,0.1075828707279838,0.7472254538293701,0.2298016139008859,0.001922688781903
ATP8,MT-ATP8,0.4811252243246881,0.6304275015358904,0.1075828707279838,0.7472254538293701,0.1321280662038211,-0.1387577164402413
TADA1,TADA1,0.4856618642571827,0.6272069263720121,0.1085972942558335,0.7467418787074853,-0.7441938299128235,-1.4195393982405986
JCAD,JCAD,0.4856618642571827,0.6272069263720121,0.1085972942558335,0.7467418787074853,0.1604112542270576,-0.1465539798332065
TDIF1,DNTTIP1,0.4856618642571827,0.6272069263720121,0.1085972942558335,0.7467418787074853,-0.1897637729128728,-0.1895668192149758
NNRE,NAXE,0.4856618642571827,0.6272069263720121,0.1085972942558335,0.7467418787074853,0.1266498682012068,-0.4222459778043679
NDUA9,NDUFA9,0.4898979485566356,0.624206114766406,0.1095445115010332,0.7467418787074853,0.2328411194370501,0.5004519172738228
CASL,NEDD9,0.5251050315105037,0.5995101785600032,0.1174170545784655,0.7234997836712767,0.1086269738432777,-0.3282359042331674
CHST3,CHST3,0.5251050315105037,0.5995101785600032,0.1174170545784655,0.7234997836712767,0.5099789120230968,0.23781576416788
CUL3,CUL3,0.5291502622129182,0.5967012167293563,0.1183215956619923,0.7233980504184662,0.2249630877768924,0.8051014356840973
TRI25,TRIM25,0.5291502622129182,0.5967012167293563,0.1183215956619923,0.7233980504184662,0.1463799885073576,-0.5099990727910341
ACTBL,ACTBL2,0.5739640213948523,0.5659921481957874,0.1283422568478033,0.6956986821573219,-1.01190251258306,-0.3734307195215606
POTE1,POT1,0.5739640213948523,0.5659921481957874,0.1283422568478033,0.6956986821573219,0.0689701199888258,-0.3082158362138255
COX19,COX19,0.5773502691896257,0.5637028616507731,0.1290994448735805,0.6956986821573219,0.1728180484474429,-0.1422641287926899
PAAF1,PAAF1,0.5773502691896257,0.5637028616507731,0.1290994448735805,0.6956986821573219,-0.5493923155596411,-1.150999842204722
GRAN,GCA,0.5773502691896257,0.5637028616507731,0.1290994448735805,0.6956986821573219,0.3971894832634167,-0.4421649572784261
AAKG3,PRKAG3,0.5773502691896257,0.5637028616507731,0.1290994448735805,0.6956986821573219,0.4879040418962977,-0.5314341719417265
MCU,MCU,0.6047431568147635,0.5453496680111236,0.1352246807565626,0.681366291091545,0.3365637887657492,0.0674684997278148
FNBP4,FNBP4,0.6047431568147635,0.5453496680111236,0.1352246807565626,0.681366291091545,0.2254031813642308,0.1665035268638076
CO3,C3,0.6047431568147635,0.5453496680111236,0.1352246807565626,0.681366291091545,0.422355486792547,0.0652305958505733
APC16,ANAPC16,0.6301260378126045,0.5286121252556877,0.1409004654941586,0.6651493803572753,0.3641111203150546,-0.0300626364003319
TEC,TEC,0.6301260378126045,0.5286121252556877,0.1409004654941586,0.6651493803572753,0.3401212755795298,-0.1169732679972636
NPT2B,SLC34A2,0.6454972243679028,0.5186050164287256,0.1443375672974064,0.6556649136277459,0.2421377658925009,-0.3534793413146632
S22A5,SLC22A5,0.6454972243679028,0.5186050164287256,0.1443375672974064,0.6556649136277459,0.089919309870741,-1.0114352616644204
E9PR30,FAU,0.6531972647421809,0.5136291133931241,0.1460593486680443,0.6524810028989209,0.92619939187363,-0.4000278135133827
RBM20,RBM20,0.6531972647421809,0.5136291133931241,0.1460593486680443,0.6524810028989209,0.1452050321714463,-0.0440650292261806
RBMX2,RBMX2,0.6622661785325219,0.5078006482752733,0.148087219439773,0.6481782313321397,0.1631227752704193,-0.4944086430054727
CWC25,CWC25,0.6622661785325219,0.5078006482752733,0.148087219439773,0.6481782313321397,0.6658720585196293,0.1579173004073247
E9PGC5,PTPRK,0.6622661785325219,0.5078006482752733,0.148087219439773,0.6481782313321397,0.0232820368221906,-0.9953885137504728
A0A590UJP9,ETS2,0.6735753140545634,0.5005813519490322,0.1506160190191773,0.6436045953630414,0.1381423136368279,-0.4065735959004191
C9K0J5,RAPH1,0.680336051416609,0.4962917022310928,0.1521277658511329,0.6411943890138937,0.4352165656462811,-0.1836739291732256
GRB2,GRB2,0.680336051416609,0.4962917022310928,0.1521277658511329,0.6411943890138937,0.4284551741957116,-0.084990213725601
NMI,NMI,0.680336051416609,0.4962917022310928,0.1521277658511329,0.6411943890138937,-0.0168539739357466,-0.9809307833647668
F126B,FAM126B,0.6943650748294136,0.4874532903640349,0.1552647508520296,0.6344061205473102,0.6234883060895705,-0.0083637783108306
A0A1W2PNR7,HLA-B,0.7027642214999339,0.4822026976277905,0.1571428571428571,0.6306641193112236,0.2854029404567882,-0.7657946814439826
MGST2,MGST2,0.7351470441147051,0.4622499461255427,0.1643838764098517,0.6060610404757116,0.4829374513734185,-0.1772033144752112
DRAM2,DRAM2,0.7351470441147051,0.4622499461255427,0.1643838764098517,0.6060610404757116,0.11353960143137,-0.8886035933882721
TPC13,TRAPPC13,0.7505683356701914,0.4529124834249168,0.1678321820317428,0.596765579897347,0.4396410729574457,-0.4212319277598298
BIRC3,BIRC3,0.7505683356701914,0.4529124834249168,0.1678321820317428,0.596765579897347,0.3413195814481839,-0.899718434131196
KLF3,KLF3,0.7505683356701914,0.4529124834249168,0.1678321820317428,0.596765579897347,-0.3271519685126295,-0.842750319319057
RAB3I,RAB3IP,0.7505683356701914,0.4529124834249168,0.1678321820317428,0.596765579897347,0.7647754209331635,0.0019924207084763
BAG5,BAG5,0.7559289460184545,0.4496917979688909,0.1690308509457033,0.596765579897347,-0.0348712560231253,-0.4109432910119298
SP100,SP100,0.7559289460184545,0.4496917979688909,0.1690308509457033,0.596765579897347,0.0981566090181348,-0.5676308814042703
DHX15,DHX15,0.7559289460184545,0.4496917979688909,0.1690308509457033,0.596765579897347,-0.6466640064971267,-0.2900162434480668
NFXL1,NFXL1,0.7559289460184545,0.4496917979688909,0.1690308509457033,0.596765579897347,0.2056051938201957,-0.5772643028461426
DDX47,DDX47,0.7559289460184545,0.4496917979688909,0.1690308509457033,0.596765579897347,-0.5464713866123059,-0.5916421817006798
GLT12,GALNT12,0.769800358919501,0.4414183267820536,0.172132593164774,0.596765579897347,0.3829510777540088,-0.2933119034109025
