,feature,corr,p-value,q-value
AIF1,AIF1,0.15086222222868279,5.477460174842389e-06,1.7952958031912255e-05
ZNF768,ZNF768,0.15085565860051386,5.482665755660166e-06,1.7966939125569015e-05
GPR18,GPR18,0.15079150438779887,5.533795722371448e-06,1.8128278531813235e-05
RGS5,RGS5,0.15077988888404817,5.5431016994238975e-06,1.8155652670405726e-05
DEXI,DEXI,0.15077547727104446,5.546640062698972e-06,1.816412965538647e-05
PPP1R7,PPP1R7,0.150735053993196,5.579162481006317e-06,1.8267504423507324e-05
PRPF3,PRPF3,0.15066902012644937,5.632682160779391e-06,1.8433268190943e-05
EDC3,EDC3,0.15063976222630035,5.656551879746483e-06,1.8508214512385146e-05
ELMOD2,ELMOD2,0.1505728625379858,5.711494955940255e-06,1.8681592416632097e-05
CAPRIN1,CAPRIN1,0.15055882532891307,5.7230879230423015e-06,1.8716308921976665e-05
CEP104,CEP104,0.150540553433324,5.7382118952237785e-06,1.8762559079234095e-05
POLR3E,POLR3E,0.15052617654328576,5.7501387417330105e-06,1.8798341379891656e-05
ZFX,ZFX,0.15052035475286868,5.7549751446103275e-06,1.8810935343574967e-05
PNOC,PNOC,0.15048876236248454,5.7812881080353514e-06,1.889371211918204e-05
RANBP2,RANBP2,0.15048295713357152,5.786135707426999e-06,1.8906322059396084e-05
GHR,GHR,0.1504691882451091,5.7976488180604435e-06,1.894070366727489e-05
LATS1,LATS1,0.15046470903136683,5.801398911951152e-06,1.8949716370804214e-05
RPS5,RPS5,0.1504552470665478,5.809328292924213e-06,1.8972374905048067e-05
BTG3,BTG3,0.15042280109357783,5.836597606972115e-06,1.905817616284113e-05
PRELID1,PRELID1,0.15040057628804396,5.855347047420522e-06,1.911476460733346e-05
PPM1L,PPM1L,0.15039988887265837,5.855927885981938e-06,1.911476460733346e-05
FRA10AC1,FRA10AC1,0.15038699172401576,5.866835673277803e-06,1.914709986250729e-05
GRK6,GRK6,0.1503828511198358,5.870341711842861e-06,1.9155271734700627e-05
UHRF1BP1,UHRF1BP1,0.15036094667843658,5.888922535799573e-06,1.9212622336884935e-05
PIH1D1,PIH1D1,0.1503494346562612,5.898710322895062e-06,1.9241270959409404e-05
FCRLA,FCRLA,0.1503188807899843,5.92476335561209e-06,1.9322957096489525e-05
RPIA,RPIA,0.15031506547332457,5.928024356138969e-06,1.9330294364994266e-05
TBCCD1,TBCCD1,0.15029656775596095,5.943858921937721e-06,1.9378622427569426e-05
LRRTM2,LRRTM2,0.1502512749664549,5.9828016209930064e-06,1.9498934865350608e-05
EVI2B,EVI2B,0.1502488508889358,5.98489269821587e-06,1.9502424808454886e-05
PFKFB4,PFKFB4,0.15024546014695,5.98781881883006e-06,1.9508634177933627e-05
ETFBKMT,ETFBKMT,0.15024312668532397,5.989833328413749e-06,1.951187185968453e-05
ATP5ME,ATP5ME,0.1502017161585062,6.025691500634802e-06,1.962533532708029e-05
ZFAT,ZFAT,0.15019912310388606,6.027943686483752e-06,1.9629325990994366e-05
HSPA8,HSPA8,0.15001319857849083,6.1915405405779814e-06,2.0144901690748613e-05
SUMO2,SUMO2,0.14999964215434058,6.203633437312948e-06,2.018081231351889e-05
EEFSEC,EEFSEC,0.14997275846592267,6.227681582622846e-06,2.025559527851552e-05
GOLGA8H,GOLGA8H,0.14996699656770263,6.232847323552434e-06,2.0268948041800744e-05
MED13L,MED13L,0.14995629982761272,6.242448175813505e-06,2.0296716598175733e-05
MUTYH,MUTYH,0.1499476753013203,6.250199399495364e-06,2.0318462843767667e-05
NFU1,NFU1,0.1499438385108726,6.253650638189464e-06,2.0326225463185104e-05
ZNF134,ZNF134,0.1499142064476013,6.280366421417845e-06,2.0409589280075163e-05
CSPP1,CSPP1,0.14986015171430872,6.329382367731019e-06,2.056188714465983e-05
ECI2,ECI2,0.14985437597584436,6.334641268473667e-06,2.057547457041192e-05
TMEM231,TMEM231,0.14985135445263303,6.3373940755143196e-06,2.058091874846351e-05
FAM72A,FAM72A,0.1498418136044812,6.346093920601314e-06,2.060567101958453e-05
CCNG1,CCNG1,0.14983918501419538,6.34849281066577e-06,2.060906243042931e-05
CCDC86,CCDC86,0.1498120706945204,6.3732883395555035e-06,2.0683430663939465e-05
GRSF1,GRSF1,0.14979700373058422,6.38710674731649e-06,2.072392189718264e-05
ZNF354C,ZNF354C,0.14979446878179334,6.389434442837013e-06,2.0725273947875363e-05
SLC7A3,SLC7A3,0.14975153775255906,6.428978778393468e-06,2.084627655295955e-05
ANAPC1,ANAPC1,0.14975042128579874,6.430010282827597e-06,2.084627655295955e-05
TERF1,TERF1,0.14974502391276132,6.434999149358462e-06,2.0858912792943362e-05
HINFP,HINFP,0.1497258205139481,6.4527791113073734e-06,2.0909454604617808e-05
WT1,WT1,0.14971956320741797,6.458582728753038e-06,2.092471336612107e-05
INTS3,INTS3,0.14971045454955492,6.467039870760642e-06,2.0948562469003502e-05
CCDC59,CCDC59,0.14963047420786707,6.54175502607549e-06,2.1183406288909536e-05
DLG2,DLG2,0.14960158628949946,6.568943336712113e-06,2.12678441533286e-05
PLPP4,PLPP4,0.14956679078721308,6.601834956406192e-06,2.1370715527807683e-05
DDX28,DDX28,0.14956440656970893,6.604094467063757e-06,2.137441004705786e-05
DDIAS,DDIAS,0.1495549509724763,6.6130627629786945e-06,2.1399812885447393e-05
DDX41,DDX41,0.14953134590440487,6.635502117326569e-06,2.1468791972359067e-05
COX10,COX10,0.1494996283725724,6.66576783241859e-06,2.1563065174594915e-05
GRK5,GRK5,0.14949212478083773,6.672947220164021e-06,2.1582637244236086e-05
CAND1,CAND1,0.14947547795155186,6.688901172455121e-06,2.163053340213524e-05
WRAP73,WRAP73,0.1494743129831927,6.690019015088858e-06,2.163053340213524e-05
TPRKB,TPRKB,0.14945184168349546,6.71161624113068e-06,2.1687268625913767e-05
DLAT,DLAT,0.1494513342630559,6.712104692173991e-06,2.1687268625913767e-05
RSRC2,RSRC2,0.14943901581138888,6.723973052365831e-06,2.1721944379917672e-05
BSDC1,BSDC1,0.14936689587481988,6.793861027202836e-06,2.194401039793549e-05
PNPLA6,PNPLA6,0.14934586895715904,6.8143674638436505e-06,2.2002809809353273e-05
EXOC5,EXOC5,0.1493266683965557,6.833144370380012e-06,2.205971198105285e-05
CDH7,CDH7,0.14931843836317368,6.841207929683864e-06,2.2082014450507776e-05
TEX19,TEX19,0.14921881882960475,6.939535892382956e-06,2.2395615158348846e-05
TMEM240,TMEM240,0.1492137484050408,6.944576499368427e-06,2.2407518274324388e-05
ENG,ENG,0.14921275074510704,6.945568703916923e-06,2.2407518274324388e-05
RARA,RARA,0.14917568356776664,6.982529286480168e-06,2.2522957696771583e-05
CLECL1,CLECL1,0.1491430573504418,7.015217016882869e-06,2.2624577910868237e-05
NAALAD2,NAALAD2,0.14913374212282332,7.024576588888085e-06,2.2650941548008727e-05
ERICH1,ERICH1,0.14910755185792549,7.050955461692386e-06,2.2724500699755516e-05
RPL23A,RPL23A,0.14906978357147732,7.089162336250552e-06,2.284378591662665e-05
DOK5,DOK5,0.1490608501451712,7.098228367898329e-06,2.2869144657403766e-05
MNT,MNT,0.1490403604116034,7.1190640772936995e-06,2.2932408128997144e-05
HECW2,HECW2,0.1490216338067355,7.138157950468737e-06,2.298849546894934e-05
NDUFA7,NDUFA7,0.14902092566727068,7.138880936630044e-06,2.298849546894934e-05
OSTC,OSTC,0.14895860467744587,7.202783097880906e-06,2.31825558033328e-05
TMEM200C,TMEM200C,0.14895689742167628,7.20454133128745e-06,2.31843110349427e-05
DCC,DCC,0.14894632378188688,7.215439824939199e-06,2.321547420530429e-05
CCDC112,CCDC112,0.14894041380535178,7.221538229429339e-06,2.323118533415379e-05
CLEC3B,CLEC3B,0.14892620306545723,7.236222199805887e-06,2.3274505695656995e-05
ITGA11,ITGA11,0.14888948010077968,7.274300202835755e-06,2.3393043132100516e-05
POLN,POLN,0.1488807109522001,7.283421177156546e-06,2.341843495396928e-05
SIN3B,SIN3B,0.14887476350416246,7.289613454588286e-06,2.343440315917509e-05
STAC2,STAC2,0.1488707373716328,7.293808177231256e-06,2.344394540235e-05
ZKSCAN7,ZKSCAN7,0.148849717075122,7.315746127345897e-06,2.351050558577956e-05
C1orf21,C1orf21,0.14882417531589598,7.342487709427473e-06,2.3588513036253134e-05
PQLC2,PQLC2,0.14881006802743402,7.357297666203571e-06,2.363211979322488e-05
WDR18,WDR18,0.14876820105135746,7.4014180803940375e-06,2.376841160558153e-05
EPOP,EPOP,0.14876744630612138,7.402215761863817e-06,2.376841160558153e-05
C9orf72,C9orf72,0.14872521423825188,7.446981355702882e-06,2.3904122353360296e-05
C3orf38,C3orf38,0.14870022299927563,7.47359342785712e-06,2.3985516852499806e-05
RNF175,RNF175,0.1486970245486351,7.477005863041655e-06,2.399244033440343e-05
GNRH2,GNRH2,0.14863100473730834,7.547775673733562e-06,2.421139989988539e-05
HLA-DPB1,HLA-DPB1,0.1486175631773653,7.562262461812022e-06,2.4253799825090066e-05
FNBP4,FNBP4,0.14860830609126707,7.572254817417985e-06,2.4281773332485285e-05
IMP3,IMP3,0.14860481696650762,7.576024344967937e-06,2.4289786204975194e-05
NOL10,NOL10,0.14858796226701454,7.594258808717207e-06,2.434416520688067e-05
ANKRD20A2,ANKRD20A2,0.14855200984440856,7.633294468440769e-06,2.4462230231935696e-05
SRPK2,SRPK2,0.1485516839907721,7.633649141171668e-06,2.4462230231935696e-05
GAP43,GAP43,0.14854219142142655,7.643988157300946e-06,2.4491256055448806e-05
PURA,PURA,0.14852359613091026,7.66428033008437e-06,2.4552156612965097e-05
CACNA2D2,CACNA2D2,0.148515247807592,7.67340718048681e-06,2.4577275176777037e-05
DDX10,DDX10,0.14840391950581674,7.796113425047347e-06,2.4949390276206268e-05
BMP2K,BMP2K,0.14838366120947255,7.818642627557075e-06,2.5017300606922243e-05
TMEM88,TMEM88,0.14837616671334078,7.826992974292314e-06,2.5035637667938018e-05
ZNF586,ZNF586,0.1483488271351838,7.857526876619932e-06,2.5120402234818082e-05
U2AF1L4,U2AF1L4,0.14834773412456184,7.858749953660064e-06,2.5120402234818082e-05
NFATC4,NFATC4,0.1483249012302777,7.88434150720023e-06,2.519799162516843e-05
TP53TG3,TP53TG3,0.14831950018049384,7.890406731383558e-06,2.5208946125755757e-05
RAP1B,RAP1B,0.14826484661288766,7.952032165629509e-06,2.5401586705549476e-05
ZNF808,ZNF808,0.14826164578709158,7.955655506254666e-06,2.5408914787311268e-05
CNR1,CNR1,0.14824350192088803,7.976224194672524e-06,2.5470351734240778e-05
NUP35,NUP35,0.1482402971668017,7.979862515404462e-06,2.5475573246839167e-05
IQGAP2,IQGAP2,0.1482397139061244,7.980524854934497e-06,2.5475573246839167e-05
MYO18B,MYO18B,0.14822611047596096,7.995987536988425e-06,2.551641097988877e-05
TBC1D17,TBC1D17,0.1482090889794989,8.015375724353875e-06,2.5574012180107545e-05
INIP,INIP,0.14819673191808502,8.02947902711015e-06,2.561473491375342e-05
DHX38,DHX38,0.1481808655555033,8.047622277137179e-06,2.5668329689216945e-05
ADGRF3,ADGRF3,0.14816603289225508,8.06461886652319e-06,2.571395990551973e-05
NELFCD,NELFCD,0.14814509261144237,8.088672440028693e-06,2.578343847914395e-05
RTL9,RTL9,0.14814471483247227,8.089107013310294e-06,2.578343847914395e-05
PPIL2,PPIL2,0.1481418135314942,8.092445231082684e-06,2.578977835814363e-05
NSUN4,NSUN4,0.14813500752643255,8.100281335792364e-06,2.5810448030283553e-05
ACTR6,ACTR6,0.14811609280048735,8.122096879764528e-06,2.5875646976116492e-05
CRABP1,CRABP1,0.14811452511462966,8.123907504475184e-06,2.587710247426148e-05
AGGF1,AGGF1,0.14809024122911063,8.152003823682333e-06,2.596227142447314e-05
TEX15,TEX15,0.14806497137916785,8.181339339885522e-06,2.605135790136794e-05
PTRHD1,PTRHD1,0.14806020842743098,8.186879874481103e-06,2.6063586239494894e-05
NTNG1,NTNG1,0.14805932610301964,8.187906637100017e-06,2.6063586239494894e-05
CD84,CD84,0.14805463713201228,8.193365263813696e-06,2.607661955008305e-05
CTU1,CTU1,0.14797806760496535,8.282995914873612e-06,2.635239851802049e-05
STK11,STK11,0.1479526885602281,8.312909978772018e-06,2.643947990752531e-05
RGS4,RGS4,0.14793921031577095,8.328838554405022e-06,2.6485734314997837e-05
PRR34,PRR34,0.14793621782235214,8.332379028877013e-06,2.649258568479443e-05
BRD1,BRD1,0.14790269580679274,8.37213782216245e-06,2.6614570841615706e-05
CWC22,CWC22,0.14789192299861187,8.384953302583213e-06,2.6650878347003346e-05
ATG4B,ATG4B,0.1478894910172877,8.387849009662246e-06,2.6655649845335632e-05
GNGT2,GNGT2,0.14785327036503204,8.431089246142775e-06,2.6788286467538457e-05
EARS2,EARS2,0.14785218418616664,8.432389206130207e-06,2.6788286467538457e-05
PANK3,PANK3,0.14782580204692303,8.464022663443234e-06,2.6884312597493757e-05
SRGAP2B,SRGAP2B,0.1478021328733657,8.492499479172177e-06,2.696132329253881e-05
C8orf33,C8orf33,0.14776517775081777,8.537143725403747e-06,2.709855568101837e-05
SYN1,SYN1,0.14776200121744176,8.540991622468884e-06,2.710626844819736e-05
RIF1,RIF1,0.14773769958796606,8.57048423036795e-06,2.7195352932185155e-05
ANKRD30B,ANKRD30B,0.14773116665685276,8.578429192211798e-06,2.721604547869353e-05
RRN3,RRN3,0.1477272359341668,8.583212888554945e-06,2.7226703346287384e-05
CAMTA2,CAMTA2,0.14770719592111398,8.607641211199301e-06,2.7299661813850112e-05
FRMD4A,FRMD4A,0.1476958710477164,8.621475295421536e-06,2.7334466789182726e-05
TSPAN11,TSPAN11,0.1476896793714948,8.629047805497111e-06,2.7353938441472186e-05
GFOD2,GFOD2,0.14768306728822536,8.637141486039065e-06,2.7375055464373526e-05
EML3,EML3,0.14767923096614352,8.641840748641738e-06,2.738540880475577e-05
ORC3,ORC3,0.14766122014790295,8.663935540179293e-06,2.7450874830188495e-05
CFAP20,CFAP20,0.14762106313381246,8.713392407020963e-06,2.760299898246697e-05
RNASEH1,RNASEH1,0.14760473166040322,8.733582986981884e-06,2.766237593971147e-05
C19orf57,C19orf57,0.14755532778315875,8.79493303384276e-06,2.785207835352955e-05
EFNB3,EFNB3,0.14751111460846086,8.850185657318166e-06,2.80224116017288e-05
HS3ST3B1,HS3ST3B1,0.14745400083161422,8.922050293205822e-06,2.8245278462177753e-05
TLE4,TLE4,0.14740571594271207,8.983239715888619e-06,2.843428169717022e-05
BGN,BGN,0.14739158991828807,9.001216591245616e-06,2.8486466083056283e-05
PFDN2,PFDN2,0.14738630506383055,9.007950950023113e-06,2.8503059495065688e-05
PIK3R5,PIK3R5,0.1473696094487598,9.02925734709421e-06,2.8565748790087025e-05
NBPF15,NBPF15,0.1473678438848051,9.031513310550177e-06,2.856815769173699e-05
UBE2R2,UBE2R2,0.14735408608817424,9.049110872960297e-06,2.861435142045262e-05
TBRG4,TBRG4,0.14729676874559883,9.122777946524875e-06,2.8837754332366958e-05
ELP5,ELP5,0.14728562652869676,9.137164727298107e-06,2.8878456309904647e-05
FAM104A,FAM104A,0.14725956984318322,9.170893532684417e-06,2.8980266139405297e-05
ARHGAP11B,ARHGAP11B,0.14725503316121907,9.1767781188201e-06,2.8994068386982845e-05
MAN2B1,MAN2B1,0.14723933194900926,9.197172170203342e-06,2.9044101442827833e-05
PLEKHM3,PLEKHM3,0.1472143347109354,9.22972990597049e-06,2.914210227165939e-05
MRAS,MRAS,0.1471743255803048,9.28206882311491e-06,2.9302517845390834e-05
ADD1,ADD1,0.1471542992878855,9.308372897518065e-06,2.9380704745055783e-05
KCNT2,KCNT2,0.1471401747035437,9.326967954243332e-06,2.9434537303180006e-05
TUBB2A,TUBB2A,0.14712825132579027,9.342692688952023e-06,2.947929527060382e-05
PGD,PGD,0.14711655955623523,9.358136526688139e-06,2.952315228711731e-05
LUC7L3,LUC7L3,0.14710444853238933,9.374159836807608e-06,2.9563944114927806e-05
ANKRD37,ANKRD37,0.14708964953541173,9.39377495423224e-06,2.9620918550008127e-05
RNF125,RNF125,0.14708328975223944,9.402216457901002e-06,2.964264680731942e-05
DRD2,DRD2,0.14707727647800223,9.41020468538712e-06,2.9662939076710885e-05
HVCN1,HVCN1,0.14706685576213765,9.424063231093499e-06,2.9701726077881652e-05
UBB,UBB,0.14706177665036874,9.430825013135292e-06,2.971323885381261e-05
RNASEH2C,RNASEH2C,0.1470357552535743,9.465539737308312e-06,2.981524851263111e-05
GALNT17,GALNT17,0.14703517000654243,9.466321905475187e-06,2.981524851263111e-05
IPO4,IPO4,0.1470129845572936,9.496017709218019e-06,2.9903851484629724e-05
HEMK1,HEMK1,0.1470023274986212,9.51031402971136e-06,2.993407750336451e-05
GPR55,GPR55,0.14697870677290006,9.542074162915002e-06,3.002415598750951e-05
GUCD1,GUCD1,0.14694975927840626,9.581134555444913e-06,3.0142097930765226e-05
PTPN9,PTPN9,0.14694361295603542,9.589447717914782e-06,3.0163286675652637e-05
ETNK1,ETNK1,0.1469144628942451,9.62896818001937e-06,3.028261381393061e-05
HOXD4,HOXD4,0.14690151624025716,9.646570493351875e-06,3.0328425065901258e-05
IDH3B,IDH3B,0.14690141515393698,9.646708051304193e-06,3.0328425065901258e-05
GPS1,GPS1,0.1468643695832092,9.697245706960658e-06,3.0482297597196676e-05
NUFIP1,NUFIP1,0.14685319809325456,9.712535363533756e-06,3.052533927555865e-05
OGA,OGA,0.14682695935590134,9.748536993714512e-06,3.063345136196826e-05
ZNF571,ZNF571,0.1468245912673089,9.751792452693638e-06,3.0638644433471213e-05
URM1,URM1,0.1468233537193578,9.753494147160632e-06,3.06389549092811e-05
LAX1,LAX1,0.14681814031399945,9.76066596736348e-06,3.0654820947372475e-05
FBXO33,FBXO33,0.14678222988530742,9.81020293494227e-06,3.0791794597934566e-05
SLC2A11,SLC2A11,0.14677724092761799,9.817103935590213e-06,3.0808396277919374e-05
ZFYVE1,ZFYVE1,0.1467274637883103,9.886212398700272e-06,3.102018220636174e-05
XPNPEP1,XPNPEP1,0.14668009549417488,9.952407111171206e-06,3.121763405481418e-05
NES,NES,0.14666886617915598,9.968161347036052e-06,3.126192028688993e-05
UCN,UCN,0.1466541168528569,9.988890135604758e-06,3.13217905088722e-05
CHRDL1,CHRDL1,0.14660727372351406,1.0054996645670732e-05,3.1508403423278044e-05
AASS,AASS,0.1465966977455989,1.0069979417205835e-05,3.1550181373527214e-05
UBR4,UBR4,0.14657449020475574,1.0101509694593801e-05,3.163859705262338e-05
SYDE1,SYDE1,0.14652836072544861,1.0167305457182042e-05,3.1834241410980304e-05
SF3B4,SF3B4,0.14652693374530262,1.0169347299964041e-05,3.1834538962114996e-05
NCR3LG1,NCR3LG1,0.14652596664276132,1.0170731333593317e-05,3.1834538962114996e-05
FLT1,FLT1,0.14652099192185053,1.0177853562961213e-05,3.185161605370065e-05
MED18,MED18,0.14642728768172714,1.0312900130463422e-05,3.226368019538598e-05
KDM6B,KDM6B,0.14641556559439523,1.0329913737354932e-05,3.230633198454508e-05
USP36,USP36,0.14639995531803124,1.0352612267752393e-05,3.237202412859267e-05
LEPROTL1,LEPROTL1,0.14639638382819878,1.0357812166059426e-05,3.238298651524794e-05
FAIM2,FAIM2,0.146381968727973,1.0378825099708395e-05,3.244337559786198e-05
MVB12A,MVB12A,0.14637692976351846,1.038617999454987e-05,3.246105797838796e-05
GOLGA8T,GOLGA8T,0.14637386392792018,1.039065733282036e-05,3.246974250725212e-05
PAQR4,PAQR4,0.1463600789012785,1.0410811697138094e-05,3.252740529434368e-05
KCNB1,KCNB1,0.1463499044186955,1.0425711174035507e-05,3.2568633615245744e-05
TUSC2,TUSC2,0.14634757647907237,1.0429123057323476e-05,3.25739685033886e-05
PIN4,PIN4,0.14633769422177406,1.0443618581244636e-05,3.261391425918824e-05
ZNF581,ZNF581,0.14633015592465415,1.0454688842064407e-05,3.264315210977803e-05
SYN3,SYN3,0.1463099472578333,1.0484421217840292e-05,3.271995291085995e-05
ZNF417,ZNF417,0.14626359898357078,1.0552916720868781e-05,3.292609398511689e-05
NOLC1,NOLC1,0.1462629223407443,1.0553919845504118e-05,3.292609398511689e-05
RBM34,RBM34,0.14623344516406453,1.0597708175359714e-05,3.305730936227169e-05
XPO4,XPO4,0.1462000466676026,1.0647530901739264e-05,3.320730187416316e-05
EHMT1,EHMT1,0.14619277992508567,1.065840071471198e-05,3.323577971643059e-05
TSFM,TSFM,0.14612927272404175,1.0753847945617468e-05,3.352247284417448e-05
NACC1,NACC1,0.14605040417511264,1.0873516775864631e-05,3.3889984211748315e-05
FXYD6,FXYD6,0.14602972463487524,1.0905103677432538e-05,3.398289155430762e-05
PTGIR,PTGIR,0.14600367789791935,1.0945013156195603e-05,3.409662658193679e-05
HOXD8,HOXD8,0.14598651970224769,1.0971379402670843e-05,3.4172709350179755e-05
RWDD2A,RWDD2A,0.14597973417887333,1.0981823114486244e-05,3.419966582492743e-05
FTSJ3,FTSJ3,0.1459701256804628,1.0996627924240295e-05,3.423488286480385e-05
TNPO1,TNPO1,0.14597007010070495,1.099671361704921e-05,3.423488286480385e-05
TET2,TET2,0.14596205115814692,1.1009083886428968e-05,3.4267812813725725e-05
SLC39A6,SLC39A6,0.14592264593628562,1.107006457500959e-05,3.4435196802491185e-05
MARCH1,MARCH1,0.14590634183910606,1.1095389667853367e-05,3.4508358851450876e-05
CCDC32,CCDC32,0.1459024096585208,1.1101505768835019e-05,3.452176391268609e-05
TARSL2,TARSL2,0.1458762214520003,1.1142320858538273e-05,3.4637414735885365e-05
CCDC116,CCDC116,0.14582003913041738,1.1230365716586217e-05,3.489976274956032e-05
HIST1H2AB,HIST1H2AB,0.145788371688456,1.1280284422246685e-05,3.5049193226795413e-05
IGSF9B,IGSF9B,0.14574855002888853,1.1343357158240579e-05,3.522798896503146e-05
FAM217B,FAM217B,0.14573992599301502,1.1357060803189193e-05,3.525936366743358e-05
SETD4,SETD4,0.14573987055479187,1.1357148945874367e-05,3.525936366743358e-05
CC2D2B,CC2D2B,0.14572313575172569,1.138378587078599e-05,3.533632135759568e-05
SPDYE2,SPDYE2,0.1457173635099674,1.1392987397800264e-05,3.5359141761479466e-05
C17orf49,C17orf49,0.14571044017454357,1.1404033231869858e-05,3.538767779662213e-05
TTYH2,TTYH2,0.14569098308461387,1.1435130713497367e-05,3.547841642403866e-05
DSN1,DSN1,0.14566102901200437,1.1483163118907885e-05,3.56216590421818e-05
ZNF200,ZNF200,0.14565387925856443,1.149465638973162e-05,3.565152634913515e-05
ANKRD20A1,ANKRD20A1,0.14563627177738095,1.1523007278323087e-05,3.572786441608205e-05
ASPM,ASPM,0.14562972210614833,1.1533570301073147e-05,3.57548161376927e-05
HIC2,HIC2,0.14561861981624563,1.1551496668395102e-05,3.580458226307319e-05
RPL10A,RPL10A,0.14560991122213085,1.1565576621544626e-05,3.584241198456964e-05
CD72,CD72,0.14560772936337835,1.156910678641398e-05,3.584310707325833e-05
ATRX,ATRX,0.14560745475109593,1.1569551171436248e-05,3.584310707325833e-05
ZNF607,ZNF607,0.1455698003849641,1.163063875624841e-05,3.602652079495841e-05
GEMIN8,GEMIN8,0.14555970336609073,1.1647071579130998e-05,3.607157699855623e-05
TMTC4,TMTC4,0.14554065160989726,1.1678138446928754e-05,3.616193364863812e-05
ZNF714,ZNF714,0.14550599136091966,1.1734860013700098e-05,3.6331689206653284e-05
XXYLT1,XXYLT1,0.14548664238667514,1.1766638731015624e-05,3.642417803131395e-05
CD247,CD247,0.14545352666568134,1.1821218289358985e-05,3.658128340636182e-05
ATP1B2,ATP1B2,0.1454447838240007,1.1835667973738294e-05,3.662007013888111e-05
CTNND2,CTNND2,0.1454320186968891,1.1856795697261882e-05,3.667356792122344e-05
EVI5L,EVI5L,0.14542057154770144,1.187577257702637e-05,3.6726321438255794e-05
RAPGEF2,RAPGEF2,0.1453892004127881,1.1927927530723967e-05,3.688164586699913e-05
GSTM4,GSTM4,0.14538192523798546,1.1940053748033616e-05,3.6907200419415036e-05
LHX4,LHX4,0.1453620089011612,1.1973310299386211e-05,3.69980320680193e-05
PARP11,PARP11,0.14535798724502202,1.1980036413354025e-05,3.701283272042382e-05
SEMA6B,SEMA6B,0.14535072119156164,1.1992197825539819e-05,3.7044418460761735e-05
KPTN,KPTN,0.1453342500930978,1.2019809567919693e-05,3.712085306154605e-05
UBR5,UBR5,0.14533364472018878,1.2020825553281196e-05,3.712085306154605e-05
ATP7A,ATP7A,0.1453299615358263,1.2027008732187911e-05,3.713394797541139e-05
LRRC8C,LRRC8C,0.14530042410313562,1.2076704674297527e-05,3.7281364639728234e-05
GNG3,GNG3,0.14529054643716255,1.2093367192243257e-05,3.732677440331501e-05
RMND5B,RMND5B,0.14527733223238898,1.2115692332232093e-05,3.738964464491709e-05
PRRT1,PRRT1,0.1452737576728902,1.212173822480519e-05,3.7402264110920293e-05
NSA2,NSA2,0.14524946550420567,1.2162901409163266e-05,3.7522680972690005e-05
PARN,PARN,0.14524841161330015,1.2164690242624116e-05,3.7522680972690005e-05
PGBD4,PGBD4,0.14519447301553154,1.2256578966616634e-05,3.7800017255062434e-05
FLOT1,FLOT1,0.1451837774885511,1.2274878047039314e-05,3.784424094663814e-05
USP46,USP46,0.14516694088622778,1.2303736698635779e-05,3.7920981456695086e-05
TIMM17B,TIMM17B,0.14514310810161946,1.2344697631998488e-05,3.804109225143496e-05
PDCL,PDCL,0.14513914257050875,1.2351525705482953e-05,3.805599836562003e-05
IRF2BPL,IRF2BPL,0.14512645465809682,1.2373396644363774e-05,3.811724042820524e-05
BCL7A,BCL7A,0.14512068729134664,1.2383350403195686e-05,3.8141756841296414e-05
DGUOK,DGUOK,0.14511764530065346,1.2388603573798708e-05,3.815178948174034e-05
USP33,USP33,0.14511614944148413,1.2391187530376235e-05,3.815360013581536e-05
HSCB,HSCB,0.14510287881675643,1.24141337848759e-05,3.8218097487180355e-05
MAPK8IP1,MAPK8IP1,0.14507347004314444,1.246512887396493e-05,3.836891117968432e-05
MBTD1,MBTD1,0.14506088649644194,1.2487009769326706e-05,3.8430074342405404e-05
VAX2,VAX2,0.14505948223351633,1.2489453839591615e-05,3.8431408587217274e-05
GOPC,GOPC,0.14505663131639965,1.2494417162458712e-05,3.8440493169225534e-05
SRRM4,SRRM4,0.1450512369279951,1.2503813700175228e-05,3.8463211921282505e-05
EPHA7,EPHA7,0.14503951124174416,1.2524262013305037e-05,3.851371756504597e-05
RPL6,RPL6,0.14501186660521137,1.2572597393767468e-05,3.865613626859662e-05
TMEM177,TMEM177,0.144969788791966,1.2646509755452732e-05,3.887088502580463e-05
PLEKHJ1,PLEKHJ1,0.14496446009610903,1.2655899424033007e-05,3.889349155794066e-05
ARAF,ARAF,0.14491411212209487,1.2744945752237394e-05,3.915455449277046e-05
STX1B,STX1B,0.14490889734744122,1.275420272821769e-05,3.9176696954825835e-05
ZNF438,ZNF438,0.14490227561258778,1.2765966491013945e-05,3.920653108543245e-05
FBRS,FBRS,0.144862224001075,1.2837340308656681e-05,3.941306778027184e-05
TFAP4,TFAP4,0.1448008970939027,1.2947364738836874e-05,3.973809842371015e-05
ZNF221,ZNF221,0.14477248562061124,1.2998640655349522e-05,3.988906985503389e-05
ALKBH6,ALKBH6,0.14474904461216,1.304109163591362e-05,4.0012915990447645e-05
ZNF599,ZNF599,0.14471402067659916,1.3104765078366434e-05,4.020182706996861e-05
TXLNG,TXLNG,0.14469081409811288,1.314711756791531e-05,4.0325281179509165e-05
ANKRD45,ANKRD45,0.14468611129717204,1.3155716149035285e-05,4.03451811629728e-05
RHOT2,RHOT2,0.14467920331602807,1.3168356385149016e-05,4.0377467485101604e-05
PRR33,PRR33,0.14459342855379534,1.3326273832842316e-05,4.083952315625119e-05
