,feature,stat,p-value,effect_size,q-value,in_group_mean,out_group_mean
847,H3BSH7,-2.000098036812882,0.04548967872958253,-0.2721788680963292,0.21040563852365254,-0.9652735331720752,0.12084203318826883
848,PEX14,-2.000098036812882,0.04548967872958253,-0.2721788680963292,0.21040563852365254,-0.4262910255908844,0.3817338252914965
849,PTBP2,-2.000098036812882,0.04548967872958253,-0.2721788680963292,0.21040563852365254,-0.28906850054529926,0.4172587045823663
850,ARGI2,-1.9986408425205624,0.0456472279598682,-0.2719805690700915,0.21101653818055144,-0.08628213730557897,1.2430898634142624
851,RA54B,-1.9981359426081102,0.04570192397251619,-0.27191186089472014,0.21115155504089464,-0.5803632465821922,0.38108990772881635
852,TAF12,-1.9898733526523642,0.04660488845237355,-0.2707874648199744,0.21339785420553106,-1.060730155766727,0.08718365936729323
853,FNBP4,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.45746777917954284,0.4596051032061118
854,DKC1,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.8002122984080771,0.2211916731273473
855,PPIL2,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.6859615266684824,0.3729400671121532
856,RBP56,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.6811975011491598,0.32465981746988826
857,NOSIP,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.579422731505068,0.516354984133282
858,MPP10,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.46091577250888927,0.3658284754090826
859,THIC,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.330950996300606,0.42674749905810594
860,GRSF1,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.6017386379389562,0.046537577917550886
861,WDR4,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.6327706099271835,0.0990896885575497
862,ZMYM2,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.49640437139843296,0.3112005614985477
863,DCAF7,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-1.0366409194643262,-0.4796881975272327
864,ATRIP,-1.988281175308352,0.04678060154964322,-0.27057079692703834,0.21339785420553106,-0.9376716413738866,0.07350618322159523
865,SUV91,-1.985874783963896,0.047047229287965106,-0.27024332854285127,0.21449600848734338,-0.4224983056570806,0.46207018865678046
866,CA112,-1.9834420972621027,0.04731806878220588,-0.26991228181377086,0.21512700167456927,-0.9831599298508157,0.0022276353970157813
867,PLXA2,-1.9834420972621027,0.04731806878220588,-0.26991228181377086,0.21512700167456927,-1.1920377856596271,-0.053382923018465145
